"skills","average_salary"
"airtable",""
"alteryx",""
"angular",""
"ansible",""
"arch",""
"asana",""
"asp.net",""
"assembly",""
"atlassian",""
"aurora",""
"aws",""
"azure",""
"bash",""
"bigquery",""
"bitbucket",""
"c",""
"c#",""
"c++",""
"cassandra",""
"chainer",""
"chef",""
"clickup",""
"cobol",""
"cognos",""
"airflow",""
